Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
Scibase Holding AB,-2.64,8.60,-4.66,6.96,0.00,0.00,0.93,-0.67
Scout Gaming Group AB,-12.96,51.85,-3.24,4.99,0.00,0.00,8.42,-0.65
Sdiptech AB Pref,0.00,0.00,0.00,32.12,2.00,1.83,3.39,0.00
Sdiptech AB ser. B,7.29,0.89,3.23,32.12,0.00,0.00,1.20,0.10
Seamless Distribution Systems AB,-27.78,0.63,-0.27,2.36,0.00,0.00,3.18,-0.11
SeaTwirl AB,-7.51,14.71,-3.64,16.47,0.00,0.00,1.09,-0.22
SECITS Holding AB,-2.62,1.00,-2.36,2.02,0.00,0.00,3.06,-1.17
SECITS Holding AB BTA,-2.42,0.93,-2.36,2.02,0.00,0.00,2.82,-1.17
Sedana Medical AB,-179.11,15.90,-0.45,6.82,0.00,0.00,11.82,-0.07
SenzaGen AB,-23.44,23.29,-1.63,6.53,0.00,0.00,5.85,-0.25
Senzime AB,-25.37,812.00,-0.33,3.45,0.00,0.00,2.35,-0.10
Serstech AB,-18.90,4.02,-0.05,0.71,0.00,0.00,2.66,-0.07
ShaMaran Petroleum Corp,-77.20,11.03,-0.04,0.58,0.00,0.00,1.33,-0.07
Simris Alg AB ser. B,-3.71,14.25,-2.42,4.49,0.00,0.00,2.00,-0.54
Sivers IMA Holding AB,-10.38,5.55,-0.61,2.12,0.00,0.00,3.38,-0.29
SJR in Scandinavia AB ser. B,15.56,1.26,2.97,5.81,2.90,6.28,7.95,0.51
Skåne-möllan AB,37.89,2.70,9.73,129.09,11.00,2.78,3.07,0.08
Skånska Energi AB B,18.70,1.78,3.13,25.17,2.00,2.96,2.68,0.12
Smart Eye AB,-7.70,5.62,-4.23,7.41,0.00,0.00,4.64,-0.57
Solnaberg Property AB,81.70,7.82,1.53,88.37,8.00,6.40,1.41,0.02
SolTech Energy Sweden AB,-13.65,5.85,-0.69,4.79,0.00,0.00,1.97,-0.14
Sonetel AB,-7.33,1.19,-1.40,9.50,0.00,0.00,1.16,-0.15
Sonetel TO ser. 1,-0.02,0.00,-1.40,9.50,0.00,0.00,0.00,-0.15
SpiffX AB,-5.58,96.67,-0.52,0.13,0.00,0.00,22.31,-4.00
Sprint Bioscience AB,-9.45,3.02,-1.46,3.71,0.00,0.00,3.72,-0.39
Sprint Bioscience TO 1,-0.38,0.12,-1.46,3.71,0.00,0.00,0.15,-0.39
